Artist,Title,Series,Date published,Publisher,Description,Image file name
Hiroshi Yoshida (1876-1950),Snow Grouse and Dicentra Flowers (Raicho to komagusa),Twelve Scenes in the Japan Alps (Nihon Arupusu juni dai no uchi),1926,Hiroshi Yoshida,"Snow Grouse and Dicentra Flowers, from the series of Twelve Scenes in the Japanese Alps. Horizontal oban: 28.8 x 40.5 cm., 11? x 16 in.",Snow_Grouse.jpg
Kawase Hasui (1883-1957),Snow at Hinuma Marsh in Mito (Mito Hinuma no yuki),,1947,S. Watanabe,,Snow_Hasui.jpg
"Utagawa Hiroshige
(1797 - 1858)","Bash?'s Hermitage on Camellia Hill beside the Aqueduct at Sekiguchi?(せき口上水端はせを庵椿やま,?Sekiguchi j?suibata Bash?an Tsubakiyama)",100 Famous Views of Edo (Winter - image 108),1856,Uoya Eikichi,"(Christies) HIROSHIGE: oban tate-e (35.6 x 23.5cm.); Sekiguchi josuibata Basho-an tsubakiyama ""Basho's hut, camelia hill at Sekiguchi aqueduct"" from the series Meisho Edo hyakkei ""One hundred views of famous places in Edo"", signed Hiroshige ga and published by Uoya Eikichi-",Birds_Winter.jpg
"Utagawa Hiroshige
(1797 - 1858)","Kuroto Bay, Kasusa (Kazusa kuroto no ura)",36 Views of Mt. Fuji (image 7),1858,Tsutaya Kichiz?,"The Honolulu Museum of Art, object no. 23038, go to:?https://honolulu.emuseum.com/objects/5377/shimotsuke-province-mount-nikko-urami-waterfall?ctx=0525afe1167f4a644c1e9709c7eab9e049655dd2&idx=0",Kuroto_Bay.jpg
"Utagawa Hiroshige 
(1797 - 1858)",Sekiguchi Waterworks and Basho Hermitage,100 Famous Views of Edo (Spring - image 40),1857,Uoya Eikichi,REPLACE WITH OUR IMAGE,Sekiguchi_Spring.jpg
"Utagawa Hiroshige
(1797 - 1858)",Oji Inari,Famous places of Edo (Edo meisho) or Famous Places in the Bay Capital (K?to meisho) ?,1839,Sano Ki,http://mercury.lcs.mit.edu/~jnc/prints/ViewsEdo.html,Oji_Inari_Horizontal.jpg
"Utagawa Hiroshige
(1797 - 1858)","Act VIII (Hachidanme)
八段目","The Storehouse of Loyal Retainers
(Ch?shingura)
忠臣蔵",1835,Senichi,,Chushingura_8.jpg
"Utagawa Hiroshige
(1797 - 1858)","16 / 18 Awaji, Kii, Iyo, Awa, Iyo, Sanuki, and Tosa Provinces",Sixty-odd Provinces (Rokujuyoshu meisho zue),1852,Fujiokaya Keijir? (Sh?rind?),,Harimaze_Awaji.jpg
"Utagawa Hiroshige
(1797 - 1858)",Kogane Plain in Shimosa Province (Shimosa Koganehara),36 Views of Mt. Fuji (image 13),1858,Tsutaya Kichiz?,"The British Museum, museum no. 1902,0212,0.397.43, go to:?https://www.britishmuseum.org/collection/object/A_1902-0212-0-397-43",Kogane_Horse.jpg
"Utagawa Hiroshige
(1797 - 1858)","Shimotsuke Province: Mount Nikko, Urami Waterfall
(Shimotsuke, Nikkosan, Urami no taki)","Famous Places in the
Sixty-odd Provinces (Rokujuyoshu meisho zue)
27",1853,Koshimuraya Heisuke,"Depicted here is the “Rear-View” (Urami) waterfall, so-called because it could be viewed from a path underneath. The travellers passing underneath the waterfall in Hiroshige's striking print turn and look at the fall in awe.",Shimotsuke.jpg
"Utagawa Hiroshige 
(1797 - 1858)","Mimasaka Province, Yamabushi Valley (Mimasaka,
Yamabushidani)","Famous Places in the
Sixty-odd Provinces (Rokujuyoshu meisho zue)
46",1853,Koshimuraya Heisuke,"This print depicts the Tsuyama River in heavy rain with Jizo Rock on the opposite bank. The figures in the foreground struggle against the strong wind whilst another figure poles a raft along the river.
",Mimasaka.jpg
"Chobunsai Eishi 
(also known as Hosoda Eishi) (1756-1829)",The Jewel River of Plovers,Six Jewel Rivers (Mu Tamagawa),1795,Nishimuraya Yohachi (Eijudo),"The print's title refers to one of the six beautiful rivers or ""mu tamagawa"" (jewel river) from classical Japanese poetry.  The poem says (Google translation): Plovers on Tamagawa River - Evening wind blows across the river, and the plovers disappear.
Vertical hosoban: approx. 32.6 x 14.8 cm., 12? x 5? in.",Eishi_Plovers.jpg
"Hishikawa Moronobu
(died in 1694)",Workman sweeping cherry blossoms near the Komagata Hall in Ueno,,1681,,"woodblock print, sumizuri-e, from the series Viewing Cherry Blossoms in Ueno (Ueno Hanami no tei), unsigned, circa 1681-84; with collector’s seal of Gerhard Pulverer to verso

Horizontal oban: 27.9 x 38.7 cm., 11 x 15? in.

",Cherry_Moronobu.jpg
